"อำเภอ","ชื่อภาษาอังกฤษ","จังหวัด","Province","จำนวนตำบล"
ไพรบึง,Phrai Bueng,ศรีสะเกษ,Si Sa Ket,6
ภูสิงห์,Phu Sing,ศรีสะเกษ,Si Sa Ket,7
เมืองจันทร์,Mueang Chan,ศรีสะเกษ,Si Sa Ket,3
เมืองศรีสะเกษ,Mueang Si Sa Ket,ศรีสะเกษ,Si Sa Ket,18
ยางชุมน้อย,Yang Chum Noi,ศรีสะเกษ,Si Sa Ket,7
ราษีไศล,Rasi Salai,ศรีสะเกษ,Si Sa Ket,13
วังหิน,Wang Hin,ศรีสะเกษ,Si Sa Ket,8
ศรีรัตนะ,Si Rattana,ศรีสะเกษ,Si Sa Ket,7
ศิลาลาด,Sila Lat,ศรีสะเกษ,Si Sa Ket,4
ห้วยทับทัน,Huai Thap Than,ศรีสะเกษ,Si Sa Ket,6
อุทุมพรพิสัย,Uthumphon Phisai,ศรีสะเกษ,Si Sa Ket,19
กุดบาก,Kut Bak,สกลนคร,Sakon Nakhon,3
กุสุมาลย์,Kusuman,สกลนคร,Sakon Nakhon,5
คำตากล้า,Kham Ta Kla,สกลนคร,Sakon Nakhon,4
โคกศรีสุพรรณ,Khok Si Suphan,สกลนคร,Sakon Nakhon,4
เจริญศิลป์,Charoen Sin,สกลนคร,Sakon Nakhon,5
เต่างอย,Tao Ngoi,สกลนคร,Sakon Nakhon,4
นิคมน้ำอูน,Nikhom Nam Un,สกลนคร,Sakon Nakhon,4
บ้านม่วง,Ban Muang,สกลนคร,Sakon Nakhon,9
พรรณานิคม,Phanna Nikhom,สกลนคร,Sakon Nakhon,10
พังโคน,Phang Khon,สกลนคร,Sakon Nakhon,5
โพนนาแก้ว,Phon Na Kaeo,สกลนคร,Sakon Nakhon,5
ภูพาน,Phu Phan,สกลนคร,Sakon Nakhon,4
เมืองสกลนคร,Mueang Sakon Nakhon,สกลนคร,Sakon Nakhon,16
วานรนิวาส,Wanon Niwat,สกลนคร,Sakon Nakhon,14
วาริชภูมิ,Waritchaphum,สกลนคร,Sakon Nakhon,5
สว่างแดนดิน,Sawang Daen Din,สกลนคร,Sakon Nakhon,16
ส่องดาว,Song Dao,สกลนคร,Sakon Nakhon,4
อากาศอำนวย,Akat Amnuai,สกลนคร,Sakon Nakhon,8
กระแสสินธุ์,Krasae Sin,สงขลา,Songkhla,4
คลองหอยโข่ง,Khlong Hoi Khong,สงขลา,Songkhla,4
ควนเนียง,Khuan Niang,สงขลา,Songkhla,4
จะนะ,Chana,สงขลา,Songkhla,14
ท้องถิ่นเทศบาลตำบลสำนักขาม,Sum Nung Kam,สงขลา,Songkhla,0
เทพา,Thepha,สงขลา,Songkhla,7
นาทวี,Na Thawi,สงขลา,Songkhla,10
นาหม่อม,Na Mom,สงขลา,Songkhla,4
บางกล่ำ,Bang Klam,สงขลา,Songkhla,4
เมืองสงขลา,Mueang Songkhla,สงขลา,Songkhla,6
ระโนด,Ranot,สงขลา,Songkhla,12
รัตภูมิ,Rattaphum,สงขลา,Songkhla,5
สทิงพระ,Sathing Phra,สงขลา,Songkhla,11
สะเดา,Sadao,สงขลา,Songkhla,9
สะบ้าย้อย,Saba Yoi,สงขลา,Songkhla,9
สิงหนคร,Singhanakhon,สงขลา,Songkhla,11
หาดใหญ่,Hat Yai,สงขลา,Songkhla,13
ควนกาหลง,Khuan Kalong,สตูล,Satun,3
ควนโดน,Khuan Don,สตูล,Satun,4
ท่าแพ,Tha Phae,สตูล,Satun,4
ทุ่งหว้า,Thung Wa,สตูล,Satun,5
มะนัง,Manang,สตูล,Satun,2
เมืองสตูล,Mueang Satun,สตูล,Satun,12
ละงู,La-ngu,สตูล,Satun,6
บางบ่อ,Bang Bo,สมุทรปราการ,Samut Prakan,8
บางพลี,Bang Phli,สมุทรปราการ,Samut Prakan,6
บางเสาธง,Bang Sao Thong,สมุทรปราการ,Samut Prakan,3
พระประแดง,Phra Pradaeng,สมุทรปราการ,Samut Prakan,15
พระสมุทรเจดีย์,Phra Samut Chedi,สมุทรปราการ,Samut Prakan,5
เมืองสมุทรปราการ,Mueang Samut Prakan,สมุทรปราการ,Samut Prakan,13
บางคนที,Bang Khonthi,สมุทรสงคราม,Samut Songkhram,13
เมืองสมุทรสงคราม,Mueang Samut Songkhram,สมุทรสงคราม,Samut Songkhram,11
อัมพวา,Amphawa,สมุทรสงคราม,Samut Songkhram,12
กระทุ่มแบน,Krathum Baen,สมุทรสาคร,Samut Sakhon,10
บ้านแพ้ว,Ban Phaeo,สมุทรสาคร,Samut Sakhon,12
เมืองสมุทรสาคร,Mueang Samut Sakhon,สมุทรสาคร,Samut Sakhon,18
เขาฉกรรจ์,Khao Chakan,สระแก้ว,Sa Kaeo,4
คลองหาด,Khlong Hat,สระแก้ว,Sa Kaeo,7
โคกสูง,Khok Sung,สระแก้ว,Sa Kaeo,4
ตาพระยา,Ta Phraya,สระแก้ว,Sa Kaeo,5
เมืองสระแก้ว,Mueang Sa Kaeo,สระแก้ว,Sa Kaeo,8
วังน้ำเย็น,Wang Nam Yen,สระแก้ว,Sa Kaeo,4
วังสมบูรณ์,Wang Sombun,สระแก้ว,Sa Kaeo,3
วัฒนานคร,Watthana Nakhon,สระแก้ว,Sa Kaeo,11
อรัญประเทศ,Aranyaprathet,สระแก้ว,Sa Kaeo,13
แก่งคอย,Kaeng Khoi,สระบุรี,Saraburi,14
เฉลิมพระเกียรติ,Chaloem Phra Kiat,สระบุรี,Saraburi,6
ดอนพุด,Don Phut,สระบุรี,Saraburi,4
บ้านหมอ,Ban Mo,สระบุรี,Saraburi,9
พระพุทธบาท,Phra Phutthabat,สระบุรี,Saraburi,9
มวกเหล็ก,Muak Lek,สระบุรี,Saraburi,6
เมืองสระบุรี,Mueang Saraburi,สระบุรี,Saraburi,11
วังม่วง,Wang Muang,สระบุรี,Saraburi,3
วิหารแดง,Wihan Daeng,สระบุรี,Saraburi,6
เสาไห้,Sao Hai,สระบุรี,Saraburi,12
หนองแค,Nong Khae,สระบุรี,Saraburi,18
หนองแซง,Nong Saeng,สระบุรี,Saraburi,9
หนองโดน,Nong Don,สระบุรี,Saraburi,4
ค่ายบางระจัน,Khai Bang Rachan,สิงห์บุรี,Sing Buri,6
ท่าช้าง,Tha Chang,สิงห์บุรี,Sing Buri,4
บางระจัน,Bang Rachan,สิงห์บุรี,Sing Buri,8
พรหมบุรี,Phrom Buri,สิงห์บุรี,Sing Buri,7
เมืองสิงห์บุรี,Mueang Sing Buri,สิงห์บุรี,Sing Buri,8
อินทร์บุรี,In Buri,สิงห์บุรี,Sing Buri,10
กงไกรลาศ,Kong Krailat,สุโขทัย,Sukhothai,11
คีรีมาศ,Khiri Mat,สุโขทัย,Sukhothai,10
ทุ่งเสลี่ยม,Thung Saliam,สุโขทัย,Sukhothai,5
บ้านด่านลานหอย,Ban Dan Lan Hoi,สุโขทัย,Sukhothai,7
เมืองสุโขทัย,Mueang Sukhothai,สุโขทัย,Sukhothai,10
ศรีนคร,Si Nakhon,สุโขทัย,Sukhothai,5
ศรีสัชนาลัย,Si Satchanalai,สุโขทัย,Sukhothai,11
ศรีสำโรง,Si Samrong,สุโขทัย,Sukhothai,13
สวรรคโลก,Sawankhalok,สุโขทัย,Sukhothai,14
ดอนเจดีย์,Don Chedi,สุพรรณบุรี,Suphan Buri,5
ด่านช้าง,Dan Chang,สุพรรณบุรี,Suphan Buri,7
เดิมบางนางบวช,Doem Bang Nang Buat,สุพรรณบุรี,Suphan Buri,14
บางปลาม้า,Bang Pla Ma,สุพรรณบุรี,Suphan Buri,14
เมืองสุพรรณบุรี,Mueang Suphan Buri,สุพรรณบุรี,Suphan Buri,20
ศรีประจันต์,Si Prachan,สุพรรณบุรี,Suphan Buri,9
สองพี่น้อง,Song Phi Nong,สุพรรณบุรี,Suphan Buri,15
สามชุก,Sam Chuk,สุพรรณบุรี,Suphan Buri,7
หนองหญ้าไซ,Nong Ya Sai,สุพรรณบุรี,Suphan Buri,6
อู่ทอง,U Thong,สุพรรณบุรี,Suphan Buri,13
กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Surat Thani,13
เกาะพะงัน,Ko Pha-ngan,สุราษฎร์ธานี,Surat Thani,3
เกาะสมุย,Ko Samui,สุราษฎร์ธานี,Surat Thani,7
คีรีรัฐนิคม,Khiri Rat Nikhom,สุราษฎร์ธานี,Surat Thani,8
เคียนซา,Khian Sa,สุราษฎร์ธานี,Surat Thani,5
ชัยบุรี,Chai Buri,สุราษฎร์ธานี,Surat Thani,4
ไชยา,Chaiya,สุราษฎร์ธานี,Surat Thani,9
ดอนสัก,Don Sak,สุราษฎร์ธานี,Surat Thani,4
ท่าฉาง,Tha Chang,สุราษฎร์ธานี,Surat Thani,6
ท่าชนะ,Tha Chana,สุราษฎร์ธานี,Surat Thani,6
บ้านตาขุน,Ban Ta Khun,สุราษฎร์ธานี,Surat Thani,4
บ้านนาเดิม,Ban Na Doem,สุราษฎร์ธานี,Surat Thani,4
บ้านนาสาร,Ban Na San,สุราษฎร์ธานี,Surat Thani,11
พนม,Phanom,สุราษฎร์ธานี,Surat Thani,6
พระแสง,Phrasaeng,สุราษฎร์ธานี,Surat Thani,7
พุนพิน,Phunphin,สุราษฎร์ธานี,Surat Thani,16
เมืองสุราษฎร์ธานี,Mueang Surat Thani,สุราษฎร์ธานี,Surat Thani,11
วิภาวดี,Vibhavadi,สุราษฎร์ธานี,Surat Thani,2
เวียงสระ,Wiang Sa,สุราษฎร์ธานี,Surat Thani,5
กาบเชิง,Kap Choeng,สุรินทร์,Surin,6
เขวาสินรินทร์,Khwao Sinarin,สุรินทร์,Surin,5
จอมพระ,Chom Phra,สุรินทร์,Surin,9
ชุมพลบุรี,Chumphon Buri,สุรินทร์,Surin,9
ท่าตูม,Tha Tum,สุรินทร์,Surin,10
โนนนารายณ์,Non Narai,สุรินทร์,Surin,5
บัวเชด,Buachet,สุรินทร์,Surin,6
ปราสาท,Prasat,สุรินทร์,Surin,18
พนมดงรัก,Phanom Dong Rak,สุรินทร์,Surin,4
เมืองสุรินทร์,Mueang Surin,สุรินทร์,Surin,21
รัตนบุรี,Rattanaburi,สุรินทร์,Surin,12
ลำดวน,Lamduan,สุรินทร์,Surin,5
ศรีณรงค์,Si Narong,สุรินทร์,Surin,5
ศีขรภูมิ,Sikhoraphum,สุรินทร์,Surin,15
สนม,Sanom,สุรินทร์,Surin,7
สังขะ,Sangkha,สุรินทร์,Surin,12
สำโรงทาบ,Samrong Thap,สุรินทร์,Surin,10
ท่าบ่อ,Tha Bo,หนองคาย,Nong Khai,10
เฝ้าไร่,Fao Rai,หนองคาย,Nong Khai,5
โพธิ์ตาก,Pho Tak,หนองคาย,Nong Khai,3
โพนพิสัย,Phon Phisai,หนองคาย,Nong Khai,11
เมืองหนองคาย,Mueang Nong Khai,หนองคาย,Nong Khai,16
รัตนวาปี,Rattanawapi,หนองคาย,Nong Khai,5
ศรีเชียงใหม่,Si Chiang Mai,หนองคาย,Nong Khai,4
สระใคร,Sakhrai,หนองคาย,Nong Khai,3
สังคม,Sangkhom,หนองคาย,Nong Khai,5
นากลาง,Na Klang,หนองบัวลำภู,Nong Bua Lam Phu,9
นาวัง,Na Wang,หนองบัวลำภู,Nong Bua Lam Phu,5
โนนสัง,Non Sang,หนองบัวลำภู,Nong Bua Lam Phu,10
เมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu,หนองบัวลำภู,Nong Bua Lam Phu,15
ศรีบุญเรือง,Si Bun Rueang,หนองบัวลำภู,Nong Bua Lam Phu,12
สุวรรณคูหา,Suwannakhuha,หนองบัวลำภู,Nong Bua Lam Phu,8
ไชโย,Chaiyo,อ่างทอง,Ang Thong,9
ป่าโมก,Pa Mok,อ่างทอง,Ang Thong,8
โพธิ์ทอง,Pho Thong,อ่างทอง,Ang Thong,15
เมืองอ่างทอง,Mueang Ang Thong,อ่างทอง,Ang Thong,14
วิเศษชัยชาญ,Wiset Chai Chan,อ่างทอง,Ang Thong,15
สามโก้,Samko,อ่างทอง,Ang Thong,5
แสวงหา,Sawaeng Ha,อ่างทอง,Ang Thong,7
ชานุมาน,Chanuman,อำนาจเจริญ,Amnat Charoen,5
ปทุมราชวงศา,Pathum Ratchawongsa,อำนาจเจริญ,Amnat Charoen,7
พนา,Phana,อำนาจเจริญ,Amnat Charoen,4
เมืองอำนาจเจริญ,Mueang Amnat Charoen,อำนาจเจริญ,Amnat Charoen,19
ลืออำนาจ,Lue Amnat,อำนาจเจริญ,Amnat Charoen,7
เสนางคนิคม,Senangkhanikhom,อำนาจเจริญ,Amnat Charoen,6
หัวตะพาน,Hua Taphan,อำนาจเจริญ,Amnat Charoen,8
กุดจับ,Kut Chap,อุดรธานี,Udon Thani,7
กุมภวาปี,Kumphawapi,อุดรธานี,Udon Thani,13
กู่แก้ว,Ku Kaeo,อุดรธานี,Udon Thani,4
ไชยวาน,Chai Wan,อุดรธานี,Udon Thani,4
ทุ่งฝน,Thung Fon,อุดรธานี,Udon Thani,4
นายูง,Na Yung,อุดรธานี,Udon Thani,4
น้ำโสม,Nam Som,อุดรธานี,Udon Thani,7
โนนสะอาด,Non Sa-at,อุดรธานี,Udon Thani,6
บ้านดุง,Ban Dung,อุดรธานี,Udon Thani,13
บ้านผือ,Ban Phue,อุดรธานี,Udon Thani,13
ประจักษ์ศิลปาคม,rachak-sinlapakhom,อุดรธานี,Udon Thani,3
พิบูลย์รักษ์,Phibun Rak,อุดรธานี,Udon Thani,3
เพ็ญ,Phen,อุดรธานี,Udon Thani,11
เมืองอุดรธานี,Mueang Udon Thani,อุดรธานี,Udon Thani,21
วังสามหมอ,Wang Sam Mo,อุดรธานี,Udon Thani,6
ศรีธาตุ,Si That,อุดรธานี,Udon Thani,7
สร้างคอม,Sang Khom,อุดรธานี,Udon Thani,6
หนองวัวซอ,Nong Wua So,อุดรธานี,Udon Thani,8
หนองแสง,Nong Saeng,อุดรธานี,Udon Thani,4
หนองหาน,Nong Han,อุดรธานี,Udon Thani,12
ตรอน,Tron,อุตรดิตถ์,Uttaradit,5
ทองแสนขัน,Thong Saen Khan,อุตรดิตถ์,Uttaradit,4
ท่าปลา,Tha Pla,อุตรดิตถ์,Uttaradit,8
น้ำปาด,Nam Pat,อุตรดิตถ์,Uttaradit,6
บ้านโคก,Ban Khok,อุตรดิตถ์,Uttaradit,4
พิชัย,Phichai,อุตรดิตถ์,Uttaradit,11
ฟากท่า,Fak Tha,อุตรดิตถ์,Uttaradit,4
เมืองอุตรดิตถ์,Mueang Uttaradit,อุตรดิตถ์,Uttaradit,17
ลับแล,Laplae,อุตรดิตถ์,Uttaradit,8
ทัพทัน,Thap Than,อุทัยธานี,Uthai Thani,10
บ้านไร่,Ban Rai,อุทัยธานี,Uthai Thani,13
เมืองอุทัยธานี,Mueang Uthai Thani,อุทัยธานี,Uthai Thani,14
ลานสัก,Lan Sak,อุทัยธานี,Uthai Thani,6
สว่างอารมณ์,Sawang Arom,อุทัยธานี,Uthai Thani,5
หนองขาหย่าง,Nong Khayang,อุทัยธานี,Uthai Thani,9
หนองฉาง,Nong Chang,อุทัยธานี,Uthai Thani,10
ห้วยคต,Huai Khot,อุทัยธานี,Uthai Thani,3
กุดข้าวปุ้น,Kut Khaopun,อุบลราชธานี,Ubon Ratchathani,5
เขมราฐ,Khemarat,อุบลราชธานี,Ubon Ratchathani,9
เขื่องใน,Khueang Nai,อุบลราชธานี,Ubon Ratchathani,18
โขงเจียม,Khong Chiam,อุบลราชธานี,Ubon Ratchathani,6
ดอนมดแดง,Don Mot Daeng,อุบลราชธานี,Ubon Ratchathani,4
เดชอุดม,Det Udom,อุบลราชธานี,Ubon Ratchathani,16
ตระการพืชผล,Trakan Phuet Phon,อุบลราชธานี,Ubon Ratchathani,23
ตาลสุม,Tan Sum,อุบลราชธานี,Ubon Ratchathani,6
ทุ่งศรีอุดม,Thung Si Udom,อุบลราชธานี,Ubon Ratchathani,5
นาจะหลวย,Na Chaluai,อุบลราชธานี,Ubon Ratchathani,6
นาตาล,Na Tan,อุบลราชธานี,Ubon Ratchathani,4
นาเยีย,Na Yia,อุบลราชธานี,Ubon Ratchathani,3
น้ำขุ่น,Nam Khun,อุบลราชธานี,Ubon Ratchathani,4
น้ำยืน,Nam Yuen,อุบลราชธานี,Ubon Ratchathani,7
บุณฑริก,Buntharik,อุบลราชธานี,Ubon Ratchathani,8
พิบูลมังสาหาร,Phibun Mangsahan,อุบลราชธานี,Ubon Ratchathani,14
โพธิ์ไทร,Pho Sai,อุบลราชธานี,Ubon Ratchathani,6
ม่วงสามสิบ,Muang Sam Sip,อุบลราชธานี,Ubon Ratchathani,14
เมืองอุบลราชธานี,Mueang Ubon Ratchathani,อุบลราชธานี,Ubon Ratchathani,12
วารินชำราบ,Warin Chamrap,อุบลราชธานี,Ubon Ratchathani,16
ศรีเมืองใหม่,Si Mueang Mai,อุบลราชธานี,Ubon Ratchathani,11
สว่างวีระวงศ์,Sawang Wirawong,อุบลราชธานี,Ubon Ratchathani,4
สำโรง,Samrong,อุบลราชธานี,Ubon Ratchathani,9
สิรินธร,Sirindhorn,อุบลราชธานี,Ubon Ratchathani,6
เหล่าเสือโก้ก,Lao Suea Kok,อุบลราชธานี,Ubon Ratchathani,4
